Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tuvalu,TUV,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Uganda,UGA,29.2201168904141
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ukraine,UKR,54.4839842618519
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,United Arab Emirates,ARE,96.0239090895056
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,United Kingdom,GBR,29.0951572399969
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,United States,USA,15.3909939751822
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Uruguay,URY,22.850389559943
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Uzbekistan,UZB,21.3472166239931
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Vanuatu,VUT,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Venezuela, RB",VEN,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Vietnam,VNM,88.9881660784447
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Virgin Islands (U.S.),VIR,41.2483399734396
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,West Bank and Gaza,PSE,59.4776296062495
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Yemen, Rep.",YEM,22.4854482182161
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Zambia,ZMB,42.7267041150915
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Zimbabwe,ZWE,46.0227994010038
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Arab World,ARB,46.0991468908327
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Caribbean small states,CSS,47.6091951532668
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Central Europe and the Baltics,CEB,59.7713152449258
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Early-demographic dividend,EAR,27.3969175780668
